,tx_id,rx_id,link_id,distance_km,azimuth_deg,geometry
110,TX_0001,110,TX_0001_RX_0110,2.0,10.0,POINT (-13.403697256145017 9.362793850578276)
111,TX_0001,111,TX_0001_RX_0111,2.0,20.0,POINT (-13.400635366676026 9.36196422921237)
112,TX_0001,112,TX_0001_RX_0112,2.0,30.0,POINT (-13.397765073330914 9.360619139953014)
113,TX_0001,113,TX_0001_RX_0113,2.0,40.0,POINT (-13.395173595989338 9.358799459783567)
114,TX_0001,114,TX_0001_RX_0114,2.0,50.0,POINT (-13.392939677951878 9.356560486376667)
115,TX_0001,115,TX_0001_RX_0115,2.0,60.0,POINT (-13.391131193055969 9.353970256980418)
116,TX_0001,116,TX_0001_RX_0116,2.0,70.0,POINT (-13.389803083685264 9.35110748027284)
117,TX_0001,117,TX_0001_RX_0117,2.0,80.0,POINT (-13.388995692285068 9.348059144129682)
118,TX_0001,118,TX_0001_RX_0118,2.0,90.0,POINT (-13.388733536968418 9.344917872078124)
119,TX_0001,119,TX_0001_RX_0119,2.0,100.0,POINT (-13.38902456824616 9.34177910881475)
120,TX_0001,120,TX_0001_RX_0120,2.0,110.0,POINT (-13.389859929258746 9.338738220323364)
121,TX_0001,121,TX_0001_RX_0121,2.0,120.0,POINT (-13.391214226577013 9.335887596684044)
122,TX_0001,122,TX_0001_RX_0122,2.0,130.0,POINT (-13.393046303140457 9.333313845547101)
123,TX_0001,123,TX_0001_RX_0123,2.0,140.0,POINT (-13.3953004896833 9.331095161461604)
124,TX_0001,124,TX_0001_RX_0124,2.0,150.0,POINT (-13.397908296518603 9.32929895088631)
125,TX_0001,125,TX_0001_RX_0125,2.0,160.0,POINT (-13.400790494241512 9.327979784936092)
126,TX_0001,126,TX_0001_RX_0126,2.0,170.0,POINT (-13.403859520170325 9.327177741965942)
127,TX_0001,127,TX_0001_RX_0127,2.0,180.0,POINT (-13.40702213751632 9.326917190269011)
128,TX_0001,128,TX_0001_RX_0128,2.0,190.0,POINT (-13.410182266650592 9.327206047821528)
129,TX_0001,129,TX_0001_RX_0129,2.0,200.0,POINT (-13.413243902643513 9.328035541547962)
130,TX_0001,130,TX_0001_RX_0130,2.0,210.0,POINT (-13.416114030643413 9.329380473439505)
131,TX_0001,131,TX_0001_RX_0131,2.0,220.0,POINT (-13.418705450713713 9.331199985493695)
132,TX_0001,132,TX_0001_RX_0132,2.0,230.0,POINT (-13.420939426461578 9.33343880031506)
133,TX_0001,133,TX_0001_RX_0133,2.0,240.0,POINT (-13.42274807708884 9.336028899783264)
134,TX_0001,134,TX_0001_RX_0134,2.0,250.0,POINT (-13.424076440222192 9.338891590891523)
135,TX_0001,135,TX_0001_RX_0135,2.0,260.0,POINT (-13.424884142808809 9.341939896088617)
136,TX_0001,136,TX_0001_RX_0136,2.0,270.0,POINT (-13.425146629201986 9.345081195579922)
137,TX_0001,137,TX_0001_RX_0137,2.0,280.0,POINT (-13.424855908958172 9.348220041359212)
138,TX_0001,138,TX_0001_RX_0138,2.0,290.0,POINT (-13.42402080142164 9.351261057490053)
139,TX_0001,139,TX_0001_RX_0139,2.0,300.0,POINT (-13.422666669448603 9.354111838497161)
140,TX_0001,140,TX_0001_RX_0140,2.0,310.0,POINT (-13.420834650156483 9.356685757749354)
141,TX_0001,141,TX_0001_RX_0141,2.0,320.0,POINT (-13.41858040590329 9.358904600420392)
142,TX_0001,142,TX_0001_RX_0142,2.0,330.0,POINT (-13.41597243333667 9.360700940923744)
143,TX_0001,143,TX_0001_RX_0143,2.0,340.0,POINT (-13.413089981851112 9.362020192473311)
144,TX_0001,144,TX_0001_RX_0144,2.0,350.0,POINT (-13.410020644735841 9.362822266389541)
145,TX_0001,145,TX_0001_RX_0145,2.5,0.0,POINT (-13.406837094422553 9.367603485322308)
146,TX_0001,146,TX_0001_RX_0146,2.5,10.0,POINT (-13.40288649550268 9.36724229732374)
147,TX_0001,147,TX_0001_RX_0147,2.5,20.0,POINT (-13.399059093981224 9.366205250620872)
148,TX_0001,148,TX_0001_RX_0148,2.5,30.0,POINT (-13.395471201437315 9.364523864389941)
149,TX_0001,149,TX_0001_RX_0149,2.5,40.0,POINT (-13.392231845843948 9.362249237847102)
150,TX_0001,150,TX_0001_RX_0150,2.5,50.0,POINT (-13.389439457397545 9.359450496272327)
151,TX_0001,151,TX_0001_RX_0151,2.5,60.0,POINT (-13.387178877284997 9.356212689229292)
152,TX_0001,152,TX_0001_RX_0152,2.5,70.0,POINT (-13.385518780332527 9.352634205018832)
153,TX_0001,153,TX_0001_RX_0153,2.5,80.0,POINT (-13.384509589784734 9.348823780091957)
154,TX_0001,154,TX_0001_RX_0154,2.5,90.0,POINT (-13.38418194739695 9.344897194424027)
155,TX_0001,155,TX_0001_RX_0155,2.5,100.0,POINT (-13.384545785060936 9.340973753346216)
156,TX_0001,156,TX_0001_RX_0156,2.5,110.0,POINT (-13.385590025849135 9.33717266276093)
